,Ctx Len,0.5K,2K,8K
Gemini-1.5-pro-001,2000K,89.2,79.4,54.0
GPT-4o-2024-08,128K,94.8,83.4,38.1
Llama-3.1-70B-Inst,128K,72.9,58.0,24.2
Claude-3-5-sonnet-2410,200K,78.4,57.5,22.0
Qwen2.5-72B-Inst,128K,68.7,46.4,20.0
Gemini-1.5-flash-001,1000K,78.9,52.3,15.3
GPT-4o-mini-24-07,128K,55.7,38.1,7.6
Llama-3.1-8B-Inst,128K,26.9,20.7,5.3
Llama-3-8B-ProLong-512k-Inst,128K,20.1,9.0,4.4
Qwen2.5-7B-Inst,128K,27.8,23.0,3.8
Phi-3-medium-128k-Inst,128K,25.4,12.2,2.5
Qwen2.5-3B-Inst,128K,27.3,5.7,1.3
Mistral-7B-Inst-v0.3,32K,18.6,12.4,1.2
AI21-Jamba-1.5-Mini,128K,19.0,9.0,1.1
Phi-3-small-128k-Inst,128K,19.6,11.5,1.1
Llama-3.2-3B-Inst,128K,13.5,4.5,0.1
Llama-3.2-1B-Inst,128K,4.0,0.1,0.0